154,Discovery Travel & Living
155,Discovery Turbo
156,Disney Channel
157,Disney Channel +1
158,E4
159,Euronews
160,Film4
176,Men & Motors
180,Hallmark
182,The History Channel
183,The History Channel +1
185,ITV2
191,Kerrang!
197,Living
202,MTV One
203,MTV Base
204,MTV Hits
205,MTV Two
206,MUTV
213,National Geographic
214,National Geographic +1
215,Nick Jr
216,Nick Replay
217,Nickelodeon
219,Sky Box Office Events
223,ARY Digital
225,Performance
228,QVC
231,RTE1
244,Sci-Fi
246,Screenshop
248,Sky One
249,Sky Movies Premiere
250,Sky Movies Premiere +1
251,Sky Movies Action/Thriller
252,Sky Movies Sci-Fi/Horror
253,Sky Movies Indie
255,Sky Movies Drama
256,Sky News
257,Sky Movies Comedy
258,Sky Movies Family
259,Sky Movies Classics
260,Sky Movies Modern Greats
262,Sky Sports 1
263,Sky Sports Xtra
264,Sky Sports 2
265,Sky Sports 3
266,Sky Real Lives
267,Sony Entertainment TV Asia
271,TCM
273,TG4
274,TV Travel Shop
275,TV Travel Shop 2
276,TV5 Europe
279,Television X
280,The Adult Channel
281,The Box
287,Trouble
288,UKTV Gold
291,UKTV Style
292,UKTV Drama
293,VH1
294,VH1 Classic
300,Sky Sports News
421,Playhouse Disney
423,UKTV Food
461,ITV1 Border Scottish
521,BBC2 Wales Digital
581,Zee TV
582,Extreme Sports
587,PremPlus
588,Magic
590,Star News
591,Star Plus
592,Smash Hits
594,Bid TV
609,Kiss
610,MTV Dance
613,Q
625,UKTV Documentary +1
661,Attheraces
664,Nicktoons TV
665,UKTV Gold +1
666,UKTV Style +1
721,S4C Digital
742,Cartoon Network Too
746,Reality TV
801,UKTV History
841,Living+1
921,Ftn
923,UKTV Bright Ideas
941,TV3
981,The Dating Channel
1061,Paramount Comedy 1
1141,Flaunt
1142,Playboy TV
1143,Scuzz
1144,Bliss
1161,E4 +1
1201,Paramount Comedy 2
1202,Trouble Reload
1221,Bravo +1
1241,Front Row
1261,Sky Box Office
1421,E! Entertainment
1442,TV Polonia
1461,FX
1462,Travel Channel
1482,VH2
1501,TMF: The Music Factory
1521,UKTV History +1
1541,Price-drop TV
1542,Community Channel
1543,NASN
1544,The Hits
1601,UKTV Documentary
1602,UKTV People
1621,UKTV Food +1
1681,Zone Horror
1661,Boomerang
1662,Sky Real Lives 2
1741,Chelsea TV
1761,Animal Planet +1
1763,Classic FM TV
1764,Discovery Real Time +1
1781,Setanta Sport 2
1766,S4C2
1767,Thomas Cook TV
1783,Setanta Sport 1
1802,Ideal World
1804,TeleG
1854,Rangers TV
1853,Celtic TV
1855,Travel Channel +1
1860,BBC2 Northern Ireland (Digital)
1861,BBC2 Scotland (Digital)
1862,BBC2 South East
1869,BBC1 South East
1870,RTE2
1872,Challenge +1
1873,Living2
1874,UKTV People +1
1876,British Eurosport 2
1877,B TV
1882,UKTV Gardens
1993,UKTV Drama +1
2050,Dave
1942,B4U Music
1943,Boro TV
1944,Channel M
1953,Discovery Home & Health +1
1948,Phoenix CNE
1949,Racing UK
1950,Stop & Shop
1951,TV Warehouse
1952,Thane Direct
1955,Teachers' TV (satellite/cable/DSL)
1956,Teachers' TV (digital terrestrial)
1958,Motors TV
1959,More4
1978,Zee Cinema
1979,Zee Music
1984,Disney Cinemagic
1981,CITV
1985,Disney Cinemagic +1
2008,Five US
2010,Bravo 2
2011,ESPN Classic
2012,Movies 24
2013,Paramount Comedy Digital +1
2015,Sci Fi +1
2016,TCM2
2021,Film4 +1
2024,Nat Geo Wild
2040,BBC Sport Interactive (red button)
2047,Channel 4+1
2043,Discovery Channel +1.5
2049,Virgin 1
2052,Dave +1
2055,Al Jazeera
